,Customer,Agent,SalesAgentEmailID,ContactEmailID,Stage,Product,Close_Value,Created Date,Close Date
0,Konex,Corliss Cosme,corliss@piedpiper.com,delila@konex.com,Won,GTX Plus Basic,1255,2016-01-04 00:00:00,2016-05-24 00:00:00
1,Finjob,Rosalina Dieter,rosalina@piedpiper.com,belinda@finjob.com,Won,MG Special,45,2016-01-04 00:00:00,2016-11-02 00:00:00
2,Kinnamplus,Donn Cantrell,donn@piedpiper.com,monte@kinnamplus.com,Lost,MG Special,,2016-01-06 00:00:00,2016-12-07 00:00:00
3,Genco Pura Olive Oil Company,James Ascencio,james@piedpiper.com,karole@gencopuraoliveoilcompany.com,In Progress,MG Advanced,1054,2016-01-06 00:00:00,2016-09-11 00:00:00
4,Stanredtax,Lajuana Vencill,lajuana@piedpiper.com,candice@stanredtax.com,Won,MG Advanced,3180,2016-01-07 00:00:00,2016-01-31 00:00:00
5,Hatfan,Zane Levy,zane@piedpiper.com,tyron@hatfan.com,Won,GTX Basic,517,2016-01-08 00:00:00,2016-12-08 00:00:00
6,Y-corporation,Kary Hendrixson,kary@piedpiper.com,rosanne@y-corporation.com,Won,GTXPro,,2016-01-10 00:00:00,2016-12-03 00:00:00
7,Gogozoom,Darcel Schlecht,darcel@piedpiper.com,salina@gogozoom.com,Won,GTXPro,4359,2016-01-10 00:00:00,2016-01-28 00:00:00
8,Kinnamplus,Garret Kinder,garret@piedpiper.com,monte@kinnamplus.com,Won,MG Special,41,2016-01-11 00:00:00,2016-12-29 00:00:00
9,Sunnamplex,James Ascencio,james@piedpiper.com,maxie@sunnamplex.com,Won,GTX Plus Pro,5169,2016-01-14 00:00:00,2016-11-01 00:00:00
10,Scotfind,Rosalina Dieter,rosalina@piedpiper.com,gordon@scotfind.com,Won,MG Advanced,3284,2016-01-14 00:00:00,2016-11-19 00:00:00
11,Scotfind,Elease Gluck,elease@piedpiper.com,gordon@scotfind.com,Won,GTX Plus Basic,1164,2016-01-14 00:00:00,2016-02-01 00:00:00
12,Mathtouch,Garret Kinder,garret@piedpiper.com,loise@mathtouch.com,Won,GTX Plus Basic,,2016-01-16 00:00:00,2016-04-09 00:00:00
13,Fasehatice,Kary Hendrixson,kary@piedpiper.com,hsiu@fasehatice.com,Won,GTX Basic,578,2016-01-17 00:00:00,2016-11-15 00:00:00
14,Umbrella Corporation,Daniell Hammack,daniell@piedpiper.com,orpha@umbrellacorporation.com,In Progress,GTX Plus Basic,561,2016-01-17 00:00:00,2016-10-03 00:00:00
15,Funholding,Versie Hillebrand,versie@piedpiper.com,ying@funholding.com,Won,MG Special,54,2016-01-18 00:00:00,2016-11-19 00:00:00
16,Kinnamplus,Donn Cantrell,donn@piedpiper.com,monte@kinnamplus.com,Lost,GTXPro,46,2016-01-19 00:00:00,2016-03-29 00:00:00
17,Statholdings,Anna Snelling,anna@piedpiper.com,verna@statholdings.com,Won,MG Advanced,,2016-01-20 00:00:00,2016-06-05 00:00:00
18,Fasehatice,Kary Hendrixson,kary@piedpiper.com,hsiu@fasehatice.com,Won,GTXPro,5149,2016-01-22 00:00:00,2016-03-16 00:00:00
19,Doncon,James Ascencio,james@piedpiper.com,jackie@doncon.com,Won,GTXPro,5673,2016-01-23 00:00:00,2016-10-06 00:00:00
20,Dontechi,Versie Hillebrand,versie@piedpiper.com,kristle@dontechi.com,Won,MG Special,57,2016-01-24 00:00:00,2016-04-28 00:00:00
21,Blackzim,Markita Hansen,markita@piedpiper.com,riley@blackzim.com,Won,GTX Plus Basic,1043,2016-01-27 00:00:00,2016-11-19 00:00:00
22,Green-Plus,Rosalina Dieter,rosalina@piedpiper.com,lavone@green-plus.com,Won,GTX Basic,635,2016-01-29 00:00:00,2016-09-13 00:00:00
23,Initech,Donn Cantrell,donn@piedpiper.com,alejandro@initech.com,Lost,GTX Plus Basic,3393,2016-01-30 00:00:00,2016-04-16 00:00:00
24,Sunnamplex,Vicki Laflamme,vicki@piedpiper.com,maxie@sunnamplex.com,Lost,GTX Basic,537,2016-02-01 00:00:00,2016-05-01 00:00:00
25,Scottech,Gladys Colclough,gladys@piedpiper.com,edison@scottech.com,Won,MG Special,57,2016-02-03 00:00:00,2016-04-13 00:00:00
26,Stanredtax,Anna Snelling,anna@piedpiper.com,candice@stanredtax.com,Won,GTX Plus Pro,5765,2016-02-04 00:00:00,2016-08-24 00:00:00
27,Plussunin,Wilburn Farren,wilburn@piedpiper.com,terry@plussunin.com,Won,MG Advanced,3012,2016-02-06 00:00:00,2016-04-22 00:00:00
28,Condax,Darcel Schlecht,darcel@piedpiper.com,golda@condax.com,Lost,GTXPro,589,2016-02-09 00:00:00,2016-04-06 00:00:00
29,Opentech,Violet Mclelland,violet@piedpiper.com,paola@opentech.com,Won,MG Special,54,2016-02-09 00:00:00,2016-10-30 00:00:00
30,Konex,Rosalina Dieter,rosalina@piedpiper.com,delila@konex.com,Won,GTX Basic,538,2016-02-10 00:00:00,2016-09-20 00:00:00
31,Ontomedia,Markita Hansen,markita@piedpiper.com,nedra@ontomedia.com,In Progress,MG Special,50,2016-02-13 00:00:00,2016-11-01 00:00:00
32,Cheers,Markita Hansen,markita@piedpiper.com,robbie@cheers.com,Won,GTX Basic,601,2016-02-14 00:00:00,2016-09-27 00:00:00
33,Doncon,Zane Levy,zane@piedpiper.com,jackie@doncon.com,Won,GTX Plus Pro,5370,2016-02-17 00:00:00,2016-07-18 00:00:00
34,Fasehatice,Kary Hendrixson,kary@piedpiper.com,hsiu@fasehatice.com,Lost,GTX Plus Pro,560,2016-02-18 00:00:00,2016-10-17 00:00:00
35,Hottechi,Kary Hendrixson,kary@piedpiper.com,juliette@hottechi.com,In Progress,GTX Plus Basic,601,2016-02-20 00:00:00,2016-05-30 00:00:00
36,dambase,Moses Frase,moses@piedpiper.com,darwin@dambase.com,Won,GTX Basic,589,2016-02-20 00:00:00,2016-07-06 00:00:00
37,Kinnamplus,Rosie Papadopoulos,rosie@piedpiper.com,monte@kinnamplus.com,Won,GTXPro,4465,2016-02-22 00:00:00,2016-11-12 00:00:00
38,Silis,Cassey Cress,cassey@piedpiper.com,zulema@silis.com,In Progress,MG Advanced,560,2016-02-22 00:00:00,2016-09-16 00:00:00
39,Isdom,Gladys Colclough,gladys@piedpiper.com,corrinne@isdom.com,Won,MG Advanced,3440,2016-02-22 00:00:00,2016-07-02 00:00:00
40,Lexiqvolax,Cassey Cress,cassey@piedpiper.com,darryl@lexiqvolax.com,In Progress,GTXPro,57,2016-02-23 00:00:00,2016-11-17 00:00:00
41,Golddex,Kary Hendrixson,kary@piedpiper.com,kelli@golddex.com,In Progress,GTX Plus Pro,4694,2016-02-26 00:00:00,2016-06-04 00:00:00
42,Zoomit,Hayden Neloms,hayden@piedpiper.com,laveta@zoomit.com,Won,MG Special,53,2016-02-26 00:00:00,2016-09-03 00:00:00
43,Fasehatice,Maureen Marcano,maureen@piedpiper.com,hsiu@fasehatice.com,Won,GTX Plus Basic,1007,2016-02-27 00:00:00,2016-12-02 00:00:00
44,Bioholding,Anna Snelling,anna@piedpiper.com,bryan@bioholding.com,Lost,GTX Plus Pro,50,2016-02-27 00:00:00,2016-11-29 00:00:00
45,Iselectrics,Vicki Laflamme,vicki@piedpiper.com,mirta@iselectrics.com,In Progress,GTX Basic,589,2016-03-01 00:00:00,2016-05-16 00:00:00
46,Ganjaflex,Maureen Marcano,maureen@piedpiper.com,somer@ganjaflex.com,In Progress,MG Advanced,2000,2016-03-02 00:00:00,2016-09-26 00:00:00
47,Domzoom,Gladys Colclough,gladys@piedpiper.com,tanja@domzoom.com,Won,GTX Basic,571,2016-03-02 00:00:00,2016-05-31 00:00:00
48,Yearin,Violet Mclelland,violet@piedpiper.com,vella@yearin.com,Won,MG Special,55,2016-03-03 00:00:00,2016-09-24 00:00:00
49,Y-corporation,Markita Hansen,markita@piedpiper.com,rosanne@y-corporation.com,Won,GTX Basic,523,2016-03-04 00:00:00,2016-11-24 00:00:00
50,Opentech,Cassey Cress,cassey@piedpiper.com,paola@opentech.com,In Progress,GTX Basic,492,2016-03-04 00:00:00,2016-05-20 00:00:00
51,Isdom,Jonathan Berthelot,jonathan@piedpiper.com,corrinne@isdom.com,Won,GTX Basic,519,2016-03-05 00:00:00,2016-04-22 00:00:00
52,Faxquote,Markita Hansen,markita@piedpiper.com,gaylord@faxquote.com,Won,MG Special,,2016-03-06 00:00:00,2016-09-16 00:00:00
53,Isdom,Gladys Colclough,gladys@piedpiper.com,corrinne@isdom.com,Lost,GTX Basic,4631,2016-03-08 00:00:00,2016-09-26 00:00:00
54,Treequote,Anna Snelling,anna@piedpiper.com,benny@treequote.com,Won,MG Special,58,2016-03-09 00:00:00,2016-05-19 00:00:00
55,Opentech,Markita Hansen,markita@piedpiper.com,paola@opentech.com,In Progress,MG Advanced,1037,2016-03-09 00:00:00,2016-05-09 00:00:00
56,Faxquote,Kami Bicknell,kami@piedpiper.com,gaylord@faxquote.com,Won,GTX Plus Basic,1059,2016-03-10 00:00:00,2016-03-27 00:00:00
57,Sonron,James Ascencio,james@piedpiper.com,ashlie@sonron.com,Won,GTX Plus Pro,,2016-03-11 00:00:00,2016-10-08 00:00:00
58,Ontomedia,Donn Cantrell,donn@piedpiper.com,nedra@ontomedia.com,Won,MG Advanced,3421,2016-03-11 00:00:00,2016-09-16 00:00:00
59,Mathtouch,Reed Clapper,reed@piedpiper.com,loise@mathtouch.com,Won,GTX Basic,493,2016-03-11 00:00:00,2016-03-27 00:00:00
60,Rangreen,Darcel Schlecht,darcel@piedpiper.com,darrel@rangreen.com,Lost,GTX Basic,50,2016-03-11 00:00:00,2016-05-27 00:00:00
61,Finjob,Kami Bicknell,kami@piedpiper.com,belinda@finjob.com,In Progress,GTX Basic,560,2016-03-14 00:00:00,2016-07-20 00:00:00
62,Stanredtax,Daniell Hammack,daniell@piedpiper.com,candice@stanredtax.com,In Progress,GTXPro,5169,2016-03-15 00:00:00,2016-05-06 00:00:00
63,Cancity,Niesha Huffines,niesha@piedpiper.com,faviola@cancity.com,Won,GTX Basic,546,2016-03-16 00:00:00,2016-05-16 00:00:00
64,Sunnamplex,Kary Hendrixson,kary@piedpiper.com,maxie@sunnamplex.com,Won,GTX Plus Basic,988,2016-03-16 00:00:00,2016-05-20 00:00:00
65,Funholding,Corliss Cosme,corliss@piedpiper.com,ying@funholding.com,In Progress,GTX Basic,,2016-03-17 00:00:00,2016-07-08 00:00:00
66,Conecom,Darcel Schlecht,darcel@piedpiper.com,ivory@conecom.com,Won,GTXPro,3952,2016-03-18 00:00:00,2016-09-13 00:00:00
67,dambase,Anna Snelling,anna@piedpiper.com,darwin@dambase.com,Lost,GTX Plus Basic,,2016-03-20 00:00:00,2016-11-15 00:00:00
68,Betatech,Versie Hillebrand,versie@piedpiper.com,genie@betatech.com,Won,MG Special,50,2016-03-21 00:00:00,2016-07-31 00:00:00
69,Konmatfix,Elease Gluck,elease@piedpiper.com,ivana@konmatfix.com,In Progress,MG Special,5169,2016-03-22 00:00:00,2016-10-23 00:00:00
70,Nam-zim,James Ascencio,james@piedpiper.com,garfield@nam-zim.com,Won,GTX Plus Pro,6490,2016-03-23 00:00:00,2016-12-17 00:00:00
71,Golddex,Kary Hendrixson,kary@piedpiper.com,kelli@golddex.com,Won,GTX Basic,559,2016-03-28 00:00:00,2016-05-17 00:00:00
72,Ontomedia,Corliss Cosme,corliss@piedpiper.com,nedra@ontomedia.com,Won,GTX Plus Pro,5790,2016-03-28 00:00:00,2016-06-15 00:00:00
73,Finjob,Kami Bicknell,kami@piedpiper.com,belinda@finjob.com,Won,GTX Basic,564,2016-03-30 00:00:00,2016-10-11 00:00:00
74,Scotfind,Vicki Laflamme,vicki@piedpiper.com,gordon@scotfind.com,Won,MG Special,54,2016-03-30 00:00:00,2016-04-29 00:00:00
75,Initech,Corliss Cosme,corliss@piedpiper.com,alejandro@initech.com,Won,GTX Basic,513,2016-04-01 00:00:00,2016-04-27 00:00:00
76,Inity,Niesha Huffines,niesha@piedpiper.com,palmira@inity.com,Won,MG Special,,2016-04-01 00:00:00,2016-04-29 00:00:00
77,Kan-code,Maureen Marcano,maureen@piedpiper.com,kenton@kan-code.com,Lost,MG Special,57,2016-04-01 00:00:00,2016-06-19 00:00:00
